,ids,mols,X,y
212,,CCNC(=O)O/N=C1/C=C2CC[C@H]3[C@H]4CC[C@H](OC(=O)NCC)[C@@]4(C)CC[C@H]3[C@@]2(C)CC1,,5.4
213,,COc1cc(/C=C/c2nc(N)nnc2C)cc(OC)c1OC,,4.695
214,,Cc1ccc(C(=O)N2C/C(=C/c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)cc1,,4.195
215,,CCC(=O)N1C/C(=C/c2ccc(OC)cc2)C(=O)/C(=C/c2ccc(OC)cc2)C1,,5.59
216,,CC(=O)c1c2CCCCc2cc2c1CC1(Cc3cc4c(cc3C1)C(=O)CCC4)C2,,4.67
217,,Clc1nc(Cl)c2ncn(CC#CCn3cnc4c(Cl)nc(Cl)nc43)c2n1,,5.6
218,,COC(=O)/C(C#N)=C\N1CCN(C(=O)c2ccco2)C1=S,,4.84
219,,CCCCCCCCCCCCCCCC(=O)N[C@@H]1CCc2cc(O)c(O)c(O)c2-c2ccc(SC)c(=O)cc21,,5.83
220,,CCn1c(=O)c2c(oc3cc(O)ccc32)c2ccc(O)cc21,,4.39
221,,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)/C=C\c6ccc(O)cc6)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,,5.69
222,,O=C(CCc1ccc(O)c(O)c1)NCCc1ccccc1,,4.115
223,,CCOC(=O)[C@H]1Nc2ccc([N+](=O)[O-])cc2[C@@H]2c3ccccc3C[C@H]12,,4.59
